distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 
32016.59 1 248 0.03 1e-04 200 3 
146740.1 2 246.7595 0.0382873 0.000577268 212.3948 2.455206 
128653.6 3 258.5661 0.04529935 0.0006301681 187.3781 2.13552 
146374 4 240.8953 0.03321472 0.0002871964 181.2088 2.729256 
108830.1 5 253.2753 0.04770877 0.0006138801 247.5798 2.152121 
16353.11 6 257.0163 0.04556301 0.0002414676 180.9264 2.499663 
16347.02 7 246.9208 0.04556301 0.0002414676 180.9264 2.499663 
162193.3 8 246.9208 0.02458753 0.0002414676 180.9264 2.499663 
161092.3 9 246.9208 0.04556301 0.0007899383 180.9264 2.499663 
15627.88 10 246.9208 0.04556301 0.0002414676 232.3784 2.499663 
14866.56 11 246.9208 0.04556301 0.0002414676 232.3784 2.346596 
14866.56 12 246.9208 0.04556301 0.0002414676 232.3784 2.346596 
14866.56 13 246.9208 0.04556301 0.0002414676 232.3784 2.346596 
14866.56 14 246.9208 0.04556301 0.0002414676 232.3784 2.346596 
14865.56 15 246.9208 0.04556401 0.0002414676 232.3784 2.346596 
14867.56 16 246.9208 0.04556201 0.0002414676 232.3784 2.346596 
15027.19 17 246.9208 0.04556301 0.0002424676 232.3784 2.346596 
14714.71 18 246.9208 0.04556301 0.0002404676 232.3784 2.346596 
14866.56 19 246.9208 0.04556301 0.0002414676 232.3784 2.346596 
14866.56 20 246.9208 0.04556301 0.0002414676 232.3784 2.346596 
14866.56 21 246.9208 0.04556301 0.0002414676 232.3784 2.346597 
14866.55 22 246.9208 0.04556301 0.0002414676 232.3784 2.346595 
1155057 23 246.8349 0.05 9e-05 241.1404 2 
1155057 24 246.8349 0.05 9e-05 241.1404 2 
1155057 25 246.8349 0.05 9e-05 241.1404 2 
1155057 26 246.8349 0.05 9e-05 241.1404 2 
1154984 27 246.8349 0.049999 9e-05 241.1404 2 
1116954 28 246.8349 0.05 9.1e-05 241.1404 2 
1155057 29 246.8349 0.05 9e-05 241.1404 2 
1155057 30 246.8349 0.05 9e-05 241.1404 2 
1155057 31 246.8349 0.05 9e-05 241.1404 2 
1155057 32 246.8349 0.05 9e-05 241.1404 2.000001 
1155057 33 246.8349 0.05 9e-05 241.1404 2 
20904.32 34 246.9002 0.04662939 0.0002050641 234.4842 2.263296 
20904.32 35 246.9002 0.04662939 0.0002050641 234.4842 2.263296 
20904.32 36 246.9001 0.04662939 0.0002050641 234.4842 2.263296 
20907.12 37 246.9002 0.04663039 0.0002050641 234.4842 2.263296 
20901.53 38 246.9002 0.04662839 0.0002050641 234.4842 2.263296 
20368.25 39 246.9002 0.04662939 0.0002060641 234.4842 2.263296 
21466.71 40 246.9002 0.04662939 0.0002040641 234.4842 2.263296 
20904.32 41 246.9002 0.04662939 0.0002050641 234.4842 2.263296 
20904.32 42 246.9002 0.04662939 0.0002050641 234.4842 2.263296 
20904.31 43 246.9002 0.04662939 0.0002050641 234.4842 2.263297 
20904.33 44 246.9002 0.04662939 0.0002050641 234.4842 2.263295 
13670.05 45 246.9146 0.04588269 0.0002305545 233.0096 2.321624 
13670.05 46 246.9146 0.04588269 0.0002305545 233.0096 2.321624 
13670.05 47 246.9146 0.04588269 0.0002305545 233.0096 2.321624 
13669.98 48 246.9146 0.04588369 0.0002305545 233.0096 2.321624 
13670.12 49 246.9146 0.04588169 0.0002305545 233.0096 2.321624 
13688.78 50 246.9146 0.04588269 0.0002315545 233.0096 2.321624 
13663.67 51 246.9146 0.04588269 0.0002295545 233.0096 2.321624 
13670.05 52 246.9146 0.04588269 0.0002305545 233.0097 2.321624 
13670.05 53 246.9146 0.04588269 0.0002305545 233.0096 2.321624 
13670.05 54 246.9146 0.04588269 0.0002305545 233.0096 2.321625 
13670.05 55 246.9146 0.04588269 0.0002305545 233.0096 2.321623 
13663.88 56 246.9141 0.04590934 0.0002296172 233.0623 2.319542 
13663.88 57 246.9141 0.04590934 0.0002296172 233.0623 2.319542 
13663.88 58 246.9141 0.04590934 0.0002296172 233.0623 2.319542 
13663.89 59 246.9141 0.04591034 0.0002296172 233.0623 2.319542 
13663.87 60 246.9141 0.04590834 0.0002296172 233.0623 2.319542 
13668.39 61 246.9141 0.04590934 0.0002306172 233.0623 2.319542 
13672.07 62 246.9141 0.04590934 0.0002286172 233.0623 2.319542 
13663.88 63 246.9141 0.04590934 0.0002296172 233.0623 2.319542 
13663.88 64 246.9141 0.04590934 0.0002296172 233.0623 2.319542 
13663.88 65 246.9141 0.04590934 0.0002296172 233.0623 2.319543 
13663.88 66 246.9141 0.04590934 0.0002296172 233.0623 2.319541 
13663.74 67 246.9142 0.0459057 0.0002297401 233.0551 2.319827 
13663.74 68 246.9142 0.0459057 0.0002297401 233.0551 2.319827 
13663.74 69 246.9142 0.0459057 0.0002297401 233.0551 2.319827 
13663.74 70 246.9142 0.0459067 0.0002297401 233.0551 2.319827 
13663.74 71 246.9142 0.0459047 0.0002297401 233.0551 2.319827 
13670.15 72 246.9142 0.0459057 0.0002307401 233.0551 2.319827 
13669.99 73 246.9142 0.0459057 0.0002287401 233.0551 2.319827 
13663.74 74 246.9142 0.0459057 0.0002297401 233.0551 2.319827 
13663.74 75 246.9142 0.0459057 0.0002297401 233.0551 2.319827 
13663.74 76 246.9142 0.0459057 0.0002297401 233.0551 2.319828 
13663.74 77 246.9142 0.0459057 0.0002297401 233.0551 2.319826 
13663.74 78 246.9142 0.04590562 0.000229738 233.0549 2.319833 
13663.74 79 246.9142 0.04590562 0.000229738 233.0549 2.319833 
13663.74 80 246.9142 0.04590562 0.000229738 233.0549 2.319833 
13663.74 81 246.9142 0.04590662 0.000229738 233.0549 2.319833 
13663.74 82 246.9142 0.04590462 0.000229738 233.0549 2.319833 
13670.13 83 246.9142 0.04590562 0.000230738 233.0549 2.319833 
13670.01 84 246.9142 0.04590562 0.000228738 233.0549 2.319833 
13663.74 85 246.9142 0.04590562 0.000229738 233.0549 2.319833 
13663.74 86 246.9142 0.04590562 0.000229738 233.0549 2.319833 
13663.74 87 246.9142 0.04590562 0.000229738 233.0549 2.319834 
13663.74 88 246.9142 0.04590562 0.000229738 233.0549 2.319832 
13663.74 89 246.9142 0.04590529 0.0002297293 233.0543 2.319858 
13663.74 90 246.9142 0.04590529 0.0002297293 233.0543 2.319858 
13663.74 91 246.9142 0.04590529 0.0002297293 233.0543 2.319858 
13663.74 92 246.9142 0.04590629 0.0002297293 233.0543 2.319858 
13663.74 93 246.9142 0.04590429 0.0002297293 233.0543 2.319858 
13670.06 94 246.9142 0.04590529 0.0002307293 233.0543 2.319858 
13670.08 95 246.9142 0.04590529 0.0002287293 233.0543 2.319858 
13663.74 96 246.9142 0.04590529 0.0002297293 233.0543 2.319858 
13663.74 97 246.9142 0.04590529 0.0002297293 233.0543 2.319858 
13663.74 98 246.9142 0.04590529 0.0002297293 233.0543 2.319859 
13663.74 99 246.9142 0.04590529 0.0002297293 233.0543 2.319857 
13663.73 100 246.9142 0.04590333 0.0002297035 233.0504 2.320012 
13663.73 101 246.9142 0.04590333 0.0002297035 233.0504 2.320012 
13663.73 102 246.9142 0.04590333 0.0002297035 233.0504 2.320012 
13663.74 103 246.9142 0.04590433 0.0002297035 233.0504 2.320012 
13663.73 104 246.9142 0.04590233 0.0002297035 233.0504 2.320012 
13669.92 105 246.9142 0.04590333 0.0002307035 233.0504 2.320012 
13670.21 106 246.9142 0.04590333 0.0002287035 233.0504 2.320012 
13663.73 107 246.9142 0.04590333 0.0002297035 233.0504 2.320012 
13663.73 108 246.9142 0.04590333 0.0002297035 233.0504 2.320012 
13663.73 109 246.9142 0.04590333 0.0002297035 233.0504 2.320013 
13663.73 110 246.9142 0.04590333 0.0002297035 233.0504 2.320011 
13663.71 111 246.9144 0.04589276 0.0002295916 233.0296 2.320837 
